step,total_halting_vehicles,total_waiting_time_step,ns_queue,ew_queue,ns_avg_wait_current,ew_avg_wait_current
0,3,0.0,3,6,0.00,0.00
1,0,0.0,3,6,0.00,0.00
2,0,0.0,3,6,0.00,0.00
3,0,0.0,3,6,0.00,0.00
4,0,0.0,3,6,0.00,0.00
5,0,0.0,3,6,0.00,0.00
6,0,0.0,3,6,0.00,0.00
7,0,0.0,3,6,0.00,0.00
8,0,0.0,3,6,0.00,0.00
9,0,0.0,3,6,0.00,0.00
10,0,0.0,3,6,0.00,0.00
11,0,0.0,3,6,0.00,0.00
12,0,0.0,3,6,0.00,0.00
13,0,0.0,3,6,0.00,0.00
14,2,2.0,3,6,0.00,0.00
15,5,7.0,3,6,0.00,0.00
16,5,12.0,3,6,0.00,0.00
17,16,18.0,3,6,0.00,0.00
18,8,24.0,3,6,0.00,0.00
19,6,30.0,3,6,0.00,0.00
20,6,36.0,3,6,0.00,0.00
21,6,42.0,3,6,0.00,0.00
22,6,48.0,3,6,0.00,0.00
23,6,54.0,3,6,0.00,0.00
24,6,60.0,3,6,0.00,0.00
25,6,66.0,3,6,0.00,0.00
26,6,72.0,3,6,0.00,0.00
27,6,78.0,3,6,0.00,0.00
28,6,84.0,3,6,0.00,0.00
29,6,90.0,3,6,0.00,0.00
30,6,96.0,3,6,0.00,0.00
31,9,105.0,3,6,0.00,0.00
32,12,117.0,3,6,0.00,0.00
33,12,129.0,3,6,0.00,0.00
34,12,141.0,3,6,0.00,0.00
35,20,153.0,3,6,0.00,0.00
36,14,165.0,3,6,0.00,0.00
37,12,177.0,3,6,0.00,0.00
38,14,189.0,3,6,0.00,0.00
39,12,201.0,3,6,0.00,0.00
40,12,213.0,3,6,0.00,0.00
41,12,225.0,3,6,0.00,0.00
42,12,237.0,3,6,0.00,0.00
43,12,249.0,3,6,0.00,0.00
44,12,261.0,3,6,0.00,0.00
45,12,273.0,3,6,0.00,0.00
46,12,285.0,3,6,0.00,0.00
47,12,297.0,3,6,0.00,0.00
48,12,309.0,3,6,0.00,0.00
49,15,324.0,3,6,0.00,0.00
50,16,340.0,3,6,0.00,0.00
51,18,358.0,3,6,0.00,0.00
52,18,376.0,3,6,0.00,0.00
53,26,394.0,3,6,0.00,0.00
54,18,412.0,3,6,0.00,0.00
55,19,430.0,3,6,0.00,0.00
56,21,448.0,3,6,0.00,0.00
57,18,466.0,3,6,0.00,0.00
58,18,484.0,3,6,0.00,0.00
59,18,502.0,3,6,0.00,0.00
60,12,244.0,3,6,0.00,0.00
