step,queue_length,waiting_time,ns_avg_waiting_time,ew_avg_waiting_time
0,3,0.0,0.00,0.00
1,0,0.0,0.00,0.00
2,0,0.0,0.00,0.00
3,0,0.0,0.00,0.00
4,0,0.0,0.00,0.00
5,0,0.0,0.00,0.00
6,0,0.0,0.00,0.00
7,0,0.0,0.00,0.00
8,0,0.0,0.00,0.00
9,0,0.0,0.00,0.00
10,0,0.0,0.00,0.00
11,0,0.0,0.00,0.00
12,0,0.0,0.00,0.00
13,0,0.0,0.00,0.00
14,2,2.0,0.33,0.00
15,5,7.0,1.17,0.00
16,5,12.0,2.00,0.00
17,16,18.0,1.64,0.00
18,8,24.0,2.00,0.00
19,6,30.0,2.50,0.00
20,6,36.0,3.00,0.00
21,6,42.0,3.50,0.00
22,6,48.0,4.00,0.00
23,6,54.0,4.50,0.00
24,6,60.0,5.00,0.00
25,6,66.0,5.50,0.00
26,6,72.0,6.00,0.00
27,6,78.0,6.50,0.00
28,6,84.0,7.00,0.00
29,6,90.0,7.50,0.00
30,6,96.0,8.00,0.00
31,9,105.0,8.75,0.00
32,12,117.0,9.75,0.00
33,12,129.0,10.75,0.00
34,12,141.0,11.75,0.00
35,20,153.0,9.56,0.00
36,14,165.0,9.17,0.00
37,12,177.0,9.83,0.00
38,14,189.0,10.50,0.00
39,12,201.0,11.17,0.00
40,12,213.0,11.83,0.00
41,12,225.0,12.50,0.00
42,12,237.0,13.17,0.00
43,12,249.0,13.83,0.00
44,12,261.0,14.50,0.00
45,12,273.0,15.17,0.00
46,12,285.0,15.83,0.00
47,12,297.0,16.50,0.00
48,12,309.0,17.17,0.00
49,15,324.0,18.00,0.00
50,16,340.0,18.89,0.00
51,18,358.0,19.89,0.00
52,18,376.0,20.89,0.00
53,26,394.0,17.91,0.00
54,18,412.0,18.73,0.00
55,19,430.0,18.70,0.00
56,21,448.0,18.67,0.00
57,18,466.0,19.42,0.00
58,18,484.0,20.17,0.00
59,18,502.0,20.92,0.00
60,18,520.0,21.67,0.00
61,18,538.0,22.42,0.00
62,18,556.0,23.17,0.00
63,18,574.0,23.92,0.00
64,18,592.0,24.67,0.00
65,12,304.0,16.89,0.00
66,10,107.0,5.94,0.00
67,5,9.0,0.44,0.17
68,4,5.0,0.00,0.83
69,4,9.0,0.00,1.50
70,4,13.0,0.00,2.17
71,12,17.0,0.00,1.55
72,6,22.0,0.00,2.00
73,7,28.0,0.00,2.33
74,7,34.0,0.00,2.83
75,7,40.0,0.00,3.33
76,6,46.0,0.00,3.83
77,6,52.0,0.00,4.33
78,6,58.0,0.00,4.83
79,6,64.0,0.00,5.33
80,6,70.0,0.00,5.83
81,6,76.0,0.00,6.33
82,6,82.0,0.00,6.83
83,6,88.0,0.00,7.33
84,7,95.0,0.00,7.92
85,8,103.0,0.00,8.58
86,8,111.0,0.00,9.25
87,11,122.0,0.00,10.17
88,12,134.0,0.00,11.17
89,22,146.0,0.00,8.59
90,14,158.0,0.00,8.78
91,12,170.0,0.00,9.44
92,12,182.0,0.00,10.11
93,12,194.0,0.00,10.78
94,12,206.0,0.00,11.44
95,12,218.0,0.00,12.11
96,12,230.0,0.00,12.78
97,12,242.0,0.00,13.44
98,12,254.0,0.00,14.11
99,12,266.0,0.00,14.78
100,12,278.0,0.00,15.44
101,12,290.0,0.00,16.11
102,13,303.0,0.00,16.83
103,15,318.0,0.00,17.67
104,17,335.0,0.00,18.61
105,18,353.0,0.00,19.61
106,18,371.0,0.00,20.61
107,28,389.0,0.00,16.91
108,19,407.0,0.00,17.70
109,18,425.0,0.00,18.48
110,19,443.0,0.00,18.46
111,18,461.0,0.00,19.21
112,18,479.0,0.00,19.96
113,18,497.0,0.00,20.71
114,18,515.0,0.00,21.46
115,18,533.0,0.00,22.21
116,18,551.0,0.00,22.96
117,18,569.0,0.00,23.71
118,18,587.0,0.00,24.46
119,18,605.0,0.00,25.21
120,21,626.0,0.00,26.08
121,23,649.0,0.00,27.04
122,23,672.0,0.00,28.00
123,23,695.0,0.00,28.96
124,24,719.0,0.00,29.96
125,32,743.0,0.00,25.62
126,27,767.0,0.00,25.57
127,24,791.0,0.00,26.37
128,24,815.0,0.00,27.17
129,25,839.0,0.00,27.97
130,18,493.0,0.00,20.54
131,12,237.0,0.00,9.88
132,6,72.0,0.00,3.00
133,0,0.0,0.00,0.00
134,0,0.0,0.00,0.00
135,0,0.0,0.00,0.00
136,0,0.0,0.00,0.00
137,0,0.0,0.00,0.00
138,0,0.0,0.00,0.00
139,0,0.0,0.00,0.00
140,3,3.0,0.50,0.00
141,3,6.0,1.00,0.00
142,5,11.0,1.83,0.00
143,13,16.0,1.60,0.00
144,7,21.0,1.91,0.00
145,6,27.0,2.45,0.00
146,8,33.0,2.75,0.00
147,6,39.0,3.25,0.00
148,6,45.0,3.75,0.00
149,6,51.0,4.25,0.00
150,6,57.0,4.75,0.00
